An abuser can use any tool to exert that power and control including a national health concern such as COVID 19,vicenews,3/18/2020,neutral,0
Baseless claims that coronavirus is a bioweapon or radiation poisoning are proliferating online,vicenews,3/18/2020,neutral,0
BREAKING The Navy s hospital ship is coming to New York City to help treat coronavirus patients,vicenews,3/18/2020,positive,0.136363636
Don t just automatically share or forward a message in fact it s almost never a good idea to share information in,vicenews,3/18/2020,negative,-0.35
Even though a WHO approved test for the coronavirus already existed the CDC tried to create its own and seriously,vicenews,3/18/2020,neutral,0.133333333
Health officials warned against non essential travel saying that anyone who ignores the advice is inviting death,vicenews,3/18/2020,neutral,0
If Sanders drops out he ll forfeit his unique power to influence the Democratic Party s coronavirus response,vicenews,3/18/2020,positive,0.375
It comes from China There s nothing not to agree on Trump said of the coronavirus,vicenews,3/18/2020,neutral,0
It s a race against time to control the spread,vicenews,3/18/2020,neutral,0
Oh the irony,vicenews,3/18/2020,neutral,0
RT hamilton The CDC still hasn t explained exactly what went wrong with the botched rollout of its COVID 19 test kits My story,vicenews,3/18/2020,negative,-0.125
RT Justin Trudeau has introduced broad measures to support Canadians most affected by COVID 19 including students low income peopl,vicenews,3/18/2020,positive,0.1875
RT The clock is ticking for NYC officials to remove vulnerable inmates from city s jails including Rikers before the coron,vicenews,3/18/2020,negative,-0.5
RT The Navy s hospital ship USNS COMFORT with 1 000 rooms is headed for NYC s harbor to help care for sick COVID 19,vicenews,3/18/2020,negative,-0.714285714
RT Went to Iraq a few weeks ago amp documented human rights abuses amp evidence that government forces are still using hunting,vicenews,3/18/2020,negative,-0.1
Russia is deploying a significant disinformation campaign against the West to worsen the impact of the coronaviru,vicenews,3/18/2020,positive,0.375
The situation has prompted one junior doctor to launch an online petition calling on the government to provide test,vicenews,3/18/2020,neutral,0
They know more than anyone that if the city isn t safe the jails aren t safe,vicenews,3/18/2020,positive,0.5
This year s rattlesnake roundup in Sweetwater Texas was packed with locals and tourists who d traveled from all o,vicenews,3/18/2020,neutral,0
We don t make enough to have savings,vicenews,3/18/2020,neutral,0
400 Israeli citizens received a text message that read According to epidemiological research you were close to a,vicenews,3/19/2020,neutral,0
